rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
219027,a5cabb9b744a9fabdfd13d59ea4e37b786c05527,0.38,1.349775840357868e-10,Lajosmizse,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219028,8babde9f423620edbe86488a629e507c3d1b2a94,0.33,1.1721737561002538e-10,Füle,3e7df4640a2e1864c8cd46516f4018c63a789465,CAP Strategic Plan-DP01 - Basic income support for sustainability,EAGF,1,,
219029,128ff01b20886ceeaeadb2327ce83f0e2b329e09,0.32,1.1366533392487309e-10,Békés,3e7df4640a2e1864c8cd46516f4018c63a789465,CAP Strategic Plan-DP01 - Basic income support for sustainability,EAGF,1,,
219030,c231c598f13e9d8c84fdc6ac82ed529e41489ff6,0.32,1.1366533392487309e-10,Budapest,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219031,38009961ee5d3b677730474e7c575eeb402de736,0.32,1.1366533392487309e-10,Szabadbattyán,3e7df4640a2e1864c8cd46516f4018c63a789465,CAP Strategic Plan-DP01 - Basic income support for sustainability,EAGF,1,,
219032,95835d2b624c2449f62e6a25556d553217e565a2,0.27,9.590512549911167e-11,Aba,3e7df4640a2e1864c8cd46516f4018c63a789465,CAP Strategic Plan-DP01 - Basic income support for sustainability,EAGF,1,,
219033,438ec8631002964d242a7e0bd1b73d989aa25f40,0.26,9.235308381395938e-11,Sárbogárd,3e7df4640a2e1864c8cd46516f4018c63a789465,CAP Strategic Plan-DP01 - Basic income support for sustainability,EAGF,1,,
219034,9eaec3562a44cec2390f6022a2c33eafada3a75d,0.26,9.235308381395938e-11,Vajta,3e7df4640a2e1864c8cd46516f4018c63a789465,CAP Strategic Plan-DP01 - Basic income support for sustainability,EAGF,1,,
219035,5941621f01a24c57a3f191b13bbd78533956a494,0.22,7.814491707335024e-11,Budapest,ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4,European Innovation Partnership (EIP-Agri) operational groups - creating innovation operational groups,National,1,,
219036,355f5b1f7496273f86e05ee11be22901a798e064,0.21,7.459287538819796e-11,Füle,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219037,64ae17fbaf5c35b3933033f68c592a9dbb423c6d,0.2,7.104083370304569e-11,Szabadbattyán,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219038,c5910da6a28c53a55e3931f8cc7742d020b5b6ea,0.2,7.104083370304569e-11,Békés,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219039,d42e444a798568b0d35847385219e4824079ddfb,0.17,6.038470864758882e-11,Sárbogárd,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219040,3d995c91358ff339800c8d76f4ebb2ec05609c0c,0.17,6.038470864758882e-11,Vajta,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219041,b9531d64f72a3beb841381139437bba0a3d6e4ad,0.16,5.6832666962436546e-11,Aba,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219042,a2959bec9f2a8564fc422a4373085913cd1aa847,0.16,5.6832666962436546e-11,Sárbogárd,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219043,59988436c6a8754c03fe6024c0863dd50b3d4407,0.13,4.617654190697969e-11,Somogyszob,6b24cc16a0f5c725db3b64c844721c883e278052,CAP Strategic Plan-DP02 - Complementary redistributive income support for sustainability,EAGF,1,,
219044,e5c326107abfb9d196b68a3465e14379bd4590e3,0.01,3.552041685152284e-12,Bágyogszovát,18d4f18a6a367d546eb169f01417e731f15f9844,Natura 2000 payments - grassland (Natura 2000 grassland support),National,1,,
219045,34e25bf3b9e7804d7ea3e8c4025d052aae686141,0.01,3.552041685152284e-12,Felcsút,ec00d1395dc58b565abc70500f4602c53747efb1,"11.1.1 - 11.2.1 Convert to organic farming, maintain organic farming",EAFRD,1,,
219046,aef5032e2e635ea926f3ed66d22370958bcb1846,0.01,3.552041685152284e-12,Egerszólát,fd194209a0f99aecd4bd45346022d967b53f5c1f,EAFRD Setting up for young farmers,EAFRD,1,,
