rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
18804,633038,25.11,8.027839607565061e-08,TALLINN,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18805,632461,24.52,7.839212551871576e-08,SAAREMAA VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18806,138198,23.94,7.65378256491866e-08,VORMSI VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18807,94720,23.94,7.65378256491866e-08,ELVA VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18808,125223,22.77,7.279725522272259e-08,KUUSALU VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18809,611452,22.19,7.094295535319343e-08,RÕUGE VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18810,99031,22.19,7.094295535319343e-08,KUUSALU VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18811,124660,22.19,7.094295535319343e-08,KEHTNA VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18812,144876,21.6,6.905668479625859e-08,KUUSALU VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18813,144235,21.6,6.905668479625859e-08,HIIUMAA VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18814,613476,21.6,6.905668479625859e-08,SAAREMAA VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18815,646861,21.6,6.905668479625859e-08,LÄÄNE-NIGULA VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18816,143131,21.02,6.720238492672942e-08,RÕUGE VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18817,618062,19.85,6.346181450026542e-08,KUUSALU VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18818,144859,19.27,6.160751463073624e-08,PÕLVA VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18819,611474,18.68,5.97212440738014e-08,TARTU LINN,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18820,632408,17.52,5.601264433474307e-08,KUUSALU VALD,d8d1dc736d54b69fde315c13d16c374ae1764e77,KK9 Elurikkuse soodustamine Natura 2000 erametsades,EAFRD _&_ National,2,,
18821,615419,13.22,4.226524875030271e-08,VILJANDI VALD,141bc77784b65c7c4d14bce3d0ba4f914978ff7c,Koolipuuvili,EAGF,1,,
18822,650321,10.98,3.5103814771431447e-08,SAAREMAA VALD,12e667f2468f92e4442ccc751d739bf51c34b896,19. Toetus kogukonna juhitud kohalikule arengule (LEADER),EAFRD _&_ National,2,,
18823,654807,10.59,3.385695796261011e-08,,141bc77784b65c7c4d14bce3d0ba4f914978ff7c,Koolipiim,EAGF,1,,
