rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,counts,latitude,longitude
196135,nome do nifap 54184,6.34,3.894497727340018e-09,,0746364c516c8411be095d64938625686f815012,II.12,II.12,1,,
196136,nome do nifap 10111,5.46,3.3539365285925077e-09,VIANA DO CASTELO,df6edca01bf13388eb18528622472ecc5db99198,VI.18,VI.18,1,,
196137,nome do nifap 8357,4.22,2.592236657630106e-09,ILHA DA GRACIOSA,0bb3df0615c7cb4769ad110248f85dc497bd3734,VI.27,VI.27,1,,
196138,nome do nifap 20339,4.15,2.5492374713661002e-09,VILA REAL,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15,VI.15,1,,
196139,nome do nifap 60659,2.5,1.5356852237145181e-09,ILHA DE SAO MIGUEL,02aa612697c6b5e8b4a4656b13079bfb3afd8409,VII.1,VII.1,1,,
196140,nome do nifap 53301,2.04,1.2531191425510467e-09,,0746364c516c8411be095d64938625686f815012,II.12,II.12,1,,
196141,nome do nifap 36819,2.0,1.2285481789716145e-09,ILHA DO PICO,02aa612697c6b5e8b4a4656b13079bfb3afd8409,VII.1,VII.1,1,,
196142,nome do nifap 52901,1.55,9.521248387030013e-10,,0746364c516c8411be095d64938625686f815012,II.12,II.12,1,,
196143,nome do nifap 23947,1.54,9.459820978081431e-10,,91ca7a8751c15dac4a4b91f46ec736d9f8002557,V.6,V.6,1,,
196144,nome do nifap 56928,1.1368683772161605e-13,6.983487872796643e-23,"PORTO, PORTO",7398e8016b39474ee4ddab0d4f3ec822b892231c _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ 0746364c516c8411be095d64938625686f815012 _&_ ec00d1395dc58b565abc70500f4602c53747efb1,I.1 _&_ II.1 _&_ VI.18 _&_ II.12 _&_ VI.16,I.1 _&_ II.1 _&_ VI.18 _&_ II.12 _&_ VI.16,5,,
196145,nome do nifap 57725,1.1368683772161605e-13,6.983487872796643e-23,VISEU,96e830420e116b9c67d7761fcd217e51d748257a _&_ 0746364c516c8411be095d64938625686f815012 _&_ df6edca01bf13388eb18528622472ecc5db99198,VI.4 _&_ II.12 _&_ VI.18,VI.4 _&_ II.12 _&_ VI.18,3,,
