rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_name,scheme_1,counts,latitude,longitude
103406,101643_anonymisiert,1.04,5.331955600575824e-10,HERMAGOR,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National,Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD _&_ National,2,,
103407,159205_anonymisiert,1.04,5.331955600575824e-10,HALLEIN,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),National _&_ EAFRD,2,,
103408,119834_anonymisiert,1.03,5.280686796724133e-10,LINZ-LAND,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),National _&_ EAFRD,2,,
103409,177066_anonymisiert,1.03,5.280686796724133e-10,INNSBRUCK-LAND,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),National _&_ EAFRD,2,,
103410,116835_anonymisiert,1.02,5.229417992872443e-10,KIRCHDORF AN DER KREMS,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),National _&_ EAFRD,2,,
103411,121294_anonymisiert,1.02,5.229417992872443e-10,KOPFING IM INNKREIS,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National,Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD _&_ National,2,,
103412,160781_anonymisiert,1.01,5.178149189020752e-10,RIED IM INNKREIS,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),National _&_ EAFRD,2,,
103413,151922_anonymisiert,1.0,5.126880385169062e-10,GMÜND,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National,Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD _&_ National,2,,
103414,157300_anonymisiert,1.0,5.126880385169062e-10,KIRCHDORF AN DER KREMS,ec00d1395dc58b565abc70500f4602c53747efb1,VI.16 Ökologischer/biologischer Landbau (Artikel 29) EAFRD _&_ VI.16 Ökologischer/biologischer Landbau (Artikel 29) National,Ökologischer/biologischer Landbau (Artikel 29),EAFRD _&_ National,2,,
103415,117632_anonymisiert,0.8,4.101504308135249e-10,SALZBURG-UMGEBUNG,ec00d1395dc58b565abc70500f4602c53747efb1 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32,VI.16 Ökologischer/biologischer Landbau (Artikel 29) EAFRD _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD _&_ VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) National,Ökologischer/biologischer Landbau (Artikel 29) _&_ Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD _&_ National,3,,
103416,111521_anonymisiert,0.67,3.4350098580632713e-10,LUDERSDORF-WILFERSDORF,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD,1,,
103417,170078_anonymisiert,0.58,2.973590623398055e-10,LINZ-LAND,ec00d1395dc58b565abc70500f4602c53747efb1,VI.16 Ökologischer/biologischer Landbau (Artikel 29) EAFRD,Ökologischer/biologischer Landbau (Artikel 29),EAFRD,1,,
103418,124294_anonymisiert,0.56,2.871053015694675e-10,LIENZ,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD,1,,
103419,113186_anonymisiert,0.53,2.7172466041396026e-10,REUTTE,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD,1,,
103420,147976_anonymisiert,0.51,2.6147089964362216e-10,RIED IM INNKREIS,55ee0e9e03e82e9028e85776f66a78737f276e32,VI.15 Agrarumwelt- und Klimamaßnahme (Artikel 28) EAFRD,Agrarumwelt- und Klimamaßnahme (Artikel 28),EAFRD,1,,
