rank,recipient_name,amount,fraction,address,scheme_id,scheme,counts,latitude,longitude
142251,gb gb-1026079,0.517275,1.5478484400250192e-10,ISLE OF ISLAY,7efbd5485e1268ef9193a18fb701612b8a1aaef9 _&_ 30ea935d87e4a62de38df47bdfce3ffe0bce63ca,Basic payment scheme - UK funded _&_ Greening - UK payments - UK funded,2,,
142252,gb gb-1030191,0.4827899999999999,1.4446585440233508e-10,CRIEFF,7efbd5485e1268ef9193a18fb701612b8a1aaef9 _&_ 30ea935d87e4a62de38df47bdfce3ffe0bce63ca,Basic payment scheme - UK funded _&_ Greening - UK payments - UK funded,2,,
142253,gb gb-1237744,0.39083,1.1694854880189035e-10,KIRKCUDBRIGHT,747d12e2e5928ddc4fe1e8ee04f8978b5636233a,Payments to areas facing natural constraints - UK funded,1,,
142254,gb gb-1219588,0.3563449999999999,1.0662955920172352e-10,PORTREE,7efbd5485e1268ef9193a18fb701612b8a1aaef9,Basic payment scheme - UK funded,1,,
142255,gb gb-1025387,0.3333549999999999,9.975023280161231e-11,FORT WILLIAM,30ea935d87e4a62de38df47bdfce3ffe0bce63ca,Greening - UK payments - UK funded,1,,
142256,gb gb-1414492,0.3333549999999999,9.975023280161231e-11,ROSS ON WYE,884664e2b05132fc64612532ca36d638de542a0b,Reimbursement of financial discipline,1,,
142257,gb gb-1471832,0.310365,9.287090640150116e-11,LYMINGTON,884664e2b05132fc64612532ca36d638de542a0b,Reimbursement of financial discipline,1,,
142258,gb gb-1423936,0.1034549999999999,3.095696880050035e-11,LAUNCESTON,7efbd5485e1268ef9193a18fb701612b8a1aaef9,Basic payment scheme - UK funded,1,,
142259,gb gb-1449049,0.08172945,2.4456005352395303e-11,PENRITH,30ea935d87e4a62de38df47bdfce3ffe0bce63ca,Greening - UK payments - UK funded,1,,
142260,gb gb-1022297,0.0689699999999999,2.0637979200333563e-11,SHETLAND,7efbd5485e1268ef9193a18fb701612b8a1aaef9,Basic payment scheme - UK funded,1,,
142261,gb gb-1239652,0.04598,1.3758652800222393e-11,DINGWALL,7efbd5485e1268ef9193a18fb701612b8a1aaef9,Basic payment scheme - UK funded,1,,
142262,gb gb-1022711,0.04598,1.3758652800222393e-11,ABOYNE,30ea935d87e4a62de38df47bdfce3ffe0bce63ca,Greening - UK payments - UK funded,1,,
142263,gb gb-1464641,0.04598,1.3758652800222393e-11,MINEHEAD,884664e2b05132fc64612532ca36d638de542a0b,Reimbursement of financial discipline,1,,
142264,gb gb-1309489,0.02299,6.879326400111196e-12,FOCHABERS,7efbd5485e1268ef9193a18fb701612b8a1aaef9,Basic payment scheme - UK funded,1,,
142265,gb gb-1363113,0.02299,6.879326400111196e-12,NEWTONMORE,7efbd5485e1268ef9193a18fb701612b8a1aaef9,Basic payment scheme - UK funded,1,,
142266,gb gb-1457950,0.0167827,5.0219082720811734e-12,BODMIN,30ea935d87e4a62de38df47bdfce3ffe0bce63ca,Greening - UK payments - UK funded,1,,
142267,gb gb-1308353,0.011495,3.439663200055598e-12,ISLE OF LEWIS,7efbd5485e1268ef9193a18fb701612b8a1aaef9,Basic payment scheme - UK funded,1,,
142268,gb gb-1109391,0.011495,3.439663200055598e-12,PORTREE,7efbd5485e1268ef9193a18fb701612b8a1aaef9,Basic payment scheme - UK funded,1,,
